W04JA61_PERI,810257052253,WOMENS SNUGGLE FLEECE ZIP IT,W04JA61_PERI,Women,Apparel & Accessories,Top,100,2499.0,2499.0,Blue,L,
W04JA61_PERI,810257052260,WOMENS SNUGGLE FLEECE ZIP IT,W04JA61_PERI,Women,Apparel & Accessories,Top,100,2499.0,2499.0,Blue,XL,
W04JA61_PUR,810257052284,WOMENS SNUGGLE FLEECE ZIP IT,W04JA61_PUR,Women,Apparel & Accessories,Top,100,2499.0,2499.0,Purple,XS,
W04JA61_PUR,810257052291,WOMENS SNUGGLE FLEECE ZIP IT,W04JA61_PUR,Women,Apparel & Accessories,Top,100,2499.0,2499.0,Purple,S,
W04JA61_PUR,810257052307,WOMENS SNUGGLE FLEECE ZIP IT,W04JA61_PUR,Women,Apparel & Accessories,Top,100,2499.0,2499.0,Purple,M,
W04TO26_TAN,810257052673,WOMENS RETREAT TEE,W04TO26_TAN,Women,Apparel & Accessories,Top,100,1999.0,1999.0,Brown,L,
W1BR35_BMLT,194428072890,WOMENS INK FLORAL PRINT BRA,W1BR35_BMLT,Women,Apparel & Accessories,Top,100,2799.0,2799.0,Black,S,
W1BR35_BMLT,194428072906,WOMENS INK FLORAL PRINT BRA,W1BR35_BMLT,Women,Apparel & Accessories,Top,100,2799.0,2799.0,Black,M,
W1BR35_BMLT,194428072913,WOMENS INK FLORAL PRINT BRA,W1BR35_BMLT,Women,Apparel & Accessories,Top,100,2799.0,2799.0,Black,L,
W1BR36_BLK,194428073026,WOMENS LUNAR RACER BRA,W1BR36_BLK,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Black,S,
W1BR36_BLK,194428073033,WOMENS LUNAR RACER BRA,W1BR36_BLK,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Black,M,
W1BR36_BLK,194428073040,WOMENS LUNAR RACER BRA,W1BR36_BLK,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Black,L,
W1BR36_MNT,194428073095,WOMENS LUNAR RACER BRA,W1BR36_MNT,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Green,S,
W1BR36_MNT,194428073101,WOMENS LUNAR RACER BRA,W1BR36_MNT,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Green,M,
W1BR36_MNT,194428073118,WOMENS LUNAR RACER BRA,W1BR36_MNT,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Green,L,
W1LT68_DKGY,194428069371,WOMENS PLATFORM DOLMAN TOP,W1LT68_DKGY,Women,Apparel & Accessories,Top,100,1699.0,1699.0,Grey,XS,
W1LT68_DKGY,194428069388,WOMENS PLATFORM DOLMAN TOP,W1LT68_DKGY,Women,Apparel & Accessories,Top,100,1699.0,1699.0,Grey,S,
W1LT68_DKGY,194428069395,WOMENS PLATFORM DOLMAN TOP,W1LT68_DKGY,Women,Apparel & Accessories,Top,100,1699.0,1699.0,Grey,M,
W1LT68_TEAL,194428073712,WOMENS PLATFORM DOLMAN TOP,W1LT68_TEAL,Women,Apparel & Accessories,Top,100,1699.0,1699.0,Green,XS,
W1LT68_TEAL,194428073729,WOMENS PLATFORM DOLMAN TOP,W1LT68_TEAL,Women,Apparel & Accessories,Top,100,1699.0,1699.0,Green,S,
W1LT68_TEAL,194428073736,WOMENS PLATFORM DOLMAN TOP,W1LT68_TEAL,Women,Apparel & Accessories,Top,100,1699.0,1699.0,Green,M,
W2TS118_CHAR,193113697578,WOMENS STREET MINI STRIPE CROP TEE,W2TS118_CHAR,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Charcoal,M,
W2TS118_CHAR,193113697585,WOMENS STREET MINI STRIPE CROP TEE,W2TS118_CHAR,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Charcoal,L,
W2TS118_LTPK,193113697622,WOMENS STREET MINI STRIPE CROP TEE,W2TS118_LTPK,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Pink,S,
W2TS118_LTPK,193113697639,WOMENS STREET MINI STRIPE CROP TEE,W2TS118_LTPK,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Pink,M,
W2TS118_LTPK,193113697646,WOMENS STREET MINI STRIPE CROP TEE,W2TS118_LTPK,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Pink,L,
12614_NVBL,192283360909,WOMENS GRACEFUL-TWISTED FORTUNE,12614_NVBL,Women,Footwear,All Shoes - Sport Casual,100,3999.0,3999.0,Navy,6,
12614_NVBL,192283360947,WOMENS GRACEFUL-TWISTED FORTUNE,12614_NVBL,Women,Footwear,All Shoes - Sport Casual,100,3999.0,3999.0,Navy,8,
12614_NVBL,192283360961,WOMENS GRACEFUL-TWISTED FORTUNE,12614_NVBL,Women,Footwear,All Shoes - Sport Casual,100,3999.0,3999.0,Navy,9,
12614_NVBL,192283360985,WOMENS GRACEFUL-TWISTED FORTUNE,12614_NVBL,Women,Footwear,All Shoes - Sport Casual,100,3999.0,3999.0,Navy,10,
12837_ORG,193642936476,WOMENS ULTRA FLEX-FIRST TAKE,12837_ORG,Women,Footwear,All Shoes - Sport Casual,100,5499.0,5499.0,Orange,6,
12837_ORG,193642936513,WOMENS ULTRA FLEX-FIRST TAKE,12837_ORG,Women,Footwear,All Shoes - Sport Casual,100,5499.0,5499.0,Orange,8,
12837_ORG,193642936537,WOMENS ULTRA FLEX-FIRST TAKE,12837_ORG,Women,Footwear,All Shoes - Sport Casual,100,5499.0,5499.0,Orange,9,
12837_ORG,193642936551,WOMENS ULTRA FLEX-FIRST TAKE,12837_ORG,Women,Footwear,All Shoes - Sport Casual,100,5499.0,5499.0,Orange,10,
12955_PUR,192283891908,WOMENS D'LITES 3.0-ZENWAY,12955_PUR,Women,Footwear,All Shoes - Sport Casual,100,6499.0,6499.0,Purple,6,
12955_PUR,192283891922,WOMENS D'LITES 3.0-ZENWAY,12955_PUR,Women,Footwear,All Shoes - Sport Casual,100,6499.0,6499.0,Purple,7,
12955_PUR,192283891946,WOMENS D'LITES 3.0-ZENWAY,12955_PUR,Women,Footwear,All Shoes - Sport Casual,100,6499.0,6499.0,Purple,8,
11918_BWGD,190872899540,WOMENS D'LITES-RUNWAY READY,11918_BWGD,Women,Footwear,Sport,100,6499.0,6499.0,Black,6,
11918_BWGD,190872899564,WOMENS D'LITES-RUNWAY READY,11918_BWGD,Women,Footwear,Sport,100,6499.0,6499.0,Black,7,
11918_BWGD,190872899588,WOMENS D'LITES-RUNWAY READY,11918_BWGD,Women,Footwear,Sport,100,6499.0,6499.0,Black,8,
11918_BWGD,190872899601,WOMENS D'LITES-RUNWAY READY,11918_BWGD,Women,Footwear,Sport,100,6499.0,6499.0,Black,9,
11977_NVY,191665172987,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_NVY,Women,Footwear,Sport,100,5999.0,5999.0,Navy,7,
11977_NVY,191665173007,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_NVY,Women,Footwear,Sport,100,5999.0,5999.0,Navy,8,
11977_NVY,191665173045,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_NVY,Women,Footwear,Sport,100,5999.0,5999.0,Navy,10,
11977_WHT,191665172888,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_WHT,Women,Footwear,Sport,100,5999.0,5999.0,White,8,
11977_WHT,191665172925,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_WHT,Women,Footwear,Sport,100,5999.0,5999.0,White,10,
12119_LTPK,191665509264,WOMENS DYNAMIGHT,12119_LTPK,Women,Footwear,Sport,100,3299.0,3299.0,Pink,6,
12119_LTPK,191665509301,WOMENS DYNAMIGHT,12119_LTPK,Women,Footwear,Sport,100,3299.0,3299.0,Pink,8,
12119_LTPK,191665509349,WOMENS DYNAMIGHT,12119_LTPK,Women,Footwear,Sport,100,3299.0,3299.0,Pink,10,
124010_LAV,194428036670,WOMENS GO WALK 5 - UPRISE,124010_LAV,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Purple,6,
124010_LAV,194428036694,WOMENS GO WALK 5 - UPRISE,124010_LAV,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Purple,7,
124010_LAV,194428036717,WOMENS GO WALK 5 - UPRISE,124010_LAV,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Purple,8,
124010_NVCL,193642885859,WOMENS GO WALK 5 - UPRISE,124010_NVCL,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Navy,7,
124010_NVCL,193642885873,WOMENS GO WALK 5 - UPRISE,124010_NVCL,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Navy,8,
124010_NVCL,193642885897,WOMENS GO WALK 5 - UPRISE,124010_NVCL,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Navy,9,
124010_NVCL,193642885910,WOMENS GO WALK 5 - UPRISE,124010_NVCL,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Navy,10,
124043_BKW,193642888836,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,6,
124043_BKW,193642888850,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,7,
124043_BKW,193642888874,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,8,
124043_BKW,193642888898,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,9,
124043_BKW,193642888911,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,10,
124043_BKW,193642888843,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,6H,
124043_BKW,193642888867,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,7H,
124043_BKW,193642888881,WOMENS GO WALK SMART - WISE,124043_BKW,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Black,8H,
124090_NVGD,194428054445,WOMENS GO WALK JOY - HIGHLIGHT,124090_NVGD,Women,Footwear,Performance - Walking,100,3799.0,3799.0,Navy,6,
124090_NVGD,194428054469,WOMENS GO WALK JOY - HIGHLIGHT,124090_NVGD,Women,Footwear,Performance - Walking,100,3799.0,3799.0,Navy,7,
124090_NVGD,194428054483,WOMENS GO WALK JOY - HIGHLIGHT,124090_NVGD,Women,Footwear,Performance - Walking,100,3799.0,3799.0,Navy,8,
124090_NVGD,194428054506,WOMENS GO WALK JOY - HIGHLIGHT,124090_NVGD,Women,Footwear,Performance - Walking,100,3799.0,3799.0,Navy,9,
124090_NVGD,194428054520,WOMENS GO WALK JOY - HIGHLIGHT,124090_NVGD,Women,Footwear,Performance - Walking,100,3799.0,3799.0,Navy,10,
12434_NVLB,889110794920,WOMENS BURST- ADRENALINE,12434_NVLB,Women,Footwear,Sport,100,5299.0,5299.0,Navy,6,
12434_NVLB,889110794968,WOMENS BURST- ADRENALINE,12434_NVLB,Women,Footwear,Sport,100,5299.0,5299.0,Navy,8,
12434_NVLB,889110794982,WOMENS BURST- ADRENALINE,12434_NVLB,Women,Footwear,Sport,100,5299.0,5299.0,Navy,9,
12434_NVLB,889110795002,WOMENS BURST- ADRENALINE,12434_NVLB,Women,Footwear,Sport,100,5299.0,5299.0,Navy,10,
12606_BKHP,193642119664,WOMENS BOUNTIFUL,12606_BKHP,Women,Footwear,Sport,100,4299.0,4299.0,Black,6,
12606_BKHP,193642119688,WOMENS BOUNTIFUL,12606_BKHP,Women,Footwear,Sport,100,4299.0,4299.0,Black,7,
12606_BKHP,193642119701,WOMENS BOUNTIFUL,12606_BKHP,Women,Footwear,Sport,100,4299.0,4299.0,Black,8,
12606_BKHP,193642119725,WOMENS BOUNTIFUL,12606_BKHP,Women,Footwear,Sport,100,4299.0,4299.0,Black,9,
12606_BKHP,193642119749,WOMENS BOUNTIFUL,12606_BKHP,Women,Footwear,Sport,100,4299.0,4299.0,Black,10,
12606_LAV,193642211504,WOMENS BOUNTIFUL,12606_LAV,Women,Footwear,Sport,100,4299.0,4299.0,Purple,6,
12606_LAV,193642211528,WOMENS BOUNTIFUL,12606_LAV,Women,Footwear,Sport,100,4299.0,4299.0,Purple,7,
12606_LAV,193642211542,WOMENS BOUNTIFUL,12606_LAV,Women,Footwear,Sport,100,4299.0,4299.0,Purple,8,
12606_LAV,193642211566,WOMENS BOUNTIFUL,12606_LAV,Women,Footwear,Sport,100,4299.0,4299.0,Purple,9,
12606_LAV,193642211580,WOMENS BOUNTIFUL,12606_LAV,Women,Footwear,Sport,100,4299.0,4299.0,Purple,10,
12614_NVBL,192283360923,WOMENS GRACEFUL-TWISTED FORTUNE,12614_NVBL,Women,Footwear,All Shoes - Sport Casual,100,3999.0,3999.0,Navy,7,
12837_ORG,193642936490,WOMENS ULTRA FLEX-FIRST TAKE,12837_ORG,Women,Footwear,All Shoes - Sport Casual,100,5499.0,5499.0,Orange,7,
11918_BWGD,190872899625,WOMENS D'LITES-RUNWAY READY,11918_BWGD,Women,Footwear,Sport,100,6499.0,6499.0,Black,10,
11977_NVY,191665172963,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_NVY,Women,Footwear,Sport,100,5999.0,5999.0,Navy,6,
11977_NVY,191665173021,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_NVY,Women,Footwear,Sport,100,5999.0,5999.0,Navy,9,
11977_WHT,191665172840,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_WHT,Women,Footwear,Sport,100,5999.0,5999.0,White,6,
11977_WHT,191665172864,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_WHT,Women,Footwear,Sport,100,5999.0,5999.0,White,7,
11977_WHT,191665172901,WOMENS D'LITES-BRIGHT BLOSSOMS,11977_WHT,Women,Footwear,Sport,100,5999.0,5999.0,White,9,
12119_LTPK,191665509288,WOMENS DYNAMIGHT,12119_LTPK,Women,Footwear,Sport,100,3299.0,3299.0,Pink,7,
12119_LTPK,191665509325,WOMENS DYNAMIGHT,12119_LTPK,Women,Footwear,Sport,100,3299.0,3299.0,Pink,9,
124010_LAV,194428036731,WOMENS GO WALK 5 - UPRISE,124010_LAV,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Purple,9,
124010_LAV,194428036755,WOMENS GO WALK 5 - UPRISE,124010_LAV,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Purple,10,
124010_NVCL,193642885835,WOMENS GO WALK 5 - UPRISE,124010_NVCL,Women,Footwear,Performance - Walking,100,5999.0,5999.0,Navy,6,
12434_NVLB,889110794944,WOMENS BURST- ADRENALINE,12434_NVLB,Women,Footwear,Sport,100,5299.0,5299.0,Navy,7,
12607_NVHP,194428108698,WOMENS BOUNTIFUL - QUICK PATH,12607_NVHP,Women,Footwear,Sport,100,4299.0,4299.0,Navy,8,
12615_GYCL,190872883235,WOMENS GRACEFUL-GET CONNECTED,12615_GYCL,Women,Footwear,Sport,100,3299.0,3299.0,Grey,6,
12615_GYCL,190872883259,WOMENS GRACEFUL-GET CONNECTED,12615_GYCL,Women,Footwear,Sport,100,3299.0,3299.0,Grey,7,
12615_GYCL,190872883273,WOMENS GRACEFUL-GET CONNECTED,12615_GYCL,Women,Footwear,Sport,100,3299.0,3299.0,Grey,8,
12615_GYCL,190872883297,WOMENS GRACEFUL-GET CONNECTED,12615_GYCL,Women,Footwear,Sport,100,3299.0,3299.0,Grey,9,
12615_GYCL,190872883310,WOMENS GRACEFUL-GET CONNECTED,12615_GYCL,Women,Footwear,Sport,100,3299.0,3299.0,Grey,10,
12615_MVE,192283498206,WOMENS GRACEFUL-GET CONNECTED,12615_MVE,Women,Footwear,Sport,100,3299.0,3299.0,Purple,6,
12615_MVE,192283498220,WOMENS GRACEFUL-GET CONNECTED,12615_MVE,Women,Footwear,Sport,100,3299.0,3299.0,Purple,7,
12615_MVE,192283498244,WOMENS GRACEFUL-GET CONNECTED,12615_MVE,Women,Footwear,Sport,100,3299.0,3299.0,Purple,8,
12615_MVE,192283498268,WOMENS GRACEFUL-GET CONNECTED,12615_MVE,Women,Footwear,Sport,100,3299.0,3299.0,Purple,9,
12615_MVE,192283498282,WOMENS GRACEFUL-GET CONNECTED,12615_MVE,Women,Footwear,Sport,100,3299.0,3299.0,Purple,10,
12640_PRPK,193113229700,WOMENS SKECH-AIR ELEMENT,12640_PRPK,Women,Footwear,Performance - Running,100,6499.0,6499.0,Purple,6,
12640_PRPK,193113229724,WOMENS SKECH-AIR ELEMENT,12640_PRPK,Women,Footwear,Performance - Running,100,6499.0,6499.0,Purple,7,
12640_PRPK,193113229748,WOMENS SKECH-AIR ELEMENT,12640_PRPK,Women,Footwear,Performance - Running,100,6499.0,6499.0,Purple,8,
12640_PRPK,193113229762,WOMENS SKECH-AIR ELEMENT,12640_PRPK,Women,Footwear,Performance - Running,100,6499.0,6499.0,Purple,9,
12640_PRPK,193113229786,WOMENS SKECH-AIR ELEMENT,12640_PRPK,Women,Footwear,Performance - Running,100,6499.0,6499.0,Purple,10,
12643_NVPK,192283204791,WOMENS SKECH-AIR ELEMENT,12643_NVPK,Women,Footwear,Sport,100,6499.0,6499.0,Navy,6,
12643_NVPK,192283204814,WOMENS SKECH-AIR ELEMENT,12643_NVPK,Women,Footwear,Sport,100,6499.0,6499.0,Navy,7,
12643_NVPK,192283204838,WOMENS SKECH-AIR ELEMENT,12643_NVPK,Women,Footwear,Sport,100,6499.0,6499.0,Navy,8,
12643_NVPK,192283204852,WOMENS SKECH-AIR ELEMENT,12643_NVPK,Women,Footwear,Sport,100,6499.0,6499.0,Navy,9,
12643_NVPK,192283204876,WOMENS SKECH-AIR ELEMENT,12643_NVPK,Women,Footwear,Sport,100,6499.0,6499.0,Navy,10,
12644_GYHP,192283951527,WOMENS SKECH-AIR ELEMENT-CINEMA,12644_GYHP,Women,Footwear,Performance - Running,100,5999.0,5999.0,Grey,6,
12644_GYHP,192283951541,WOMENS SKECH-AIR ELEMENT-CINEMA,12644_GYHP,Women,Footwear,Performance - Running,100,5999.0,5999.0,Grey,7,
12644_GYHP,192283951565,WOMENS SKECH-AIR ELEMENT-CINEMA,12644_GYHP,Women,Footwear,Performance - Running,100,5999.0,5999.0,Grey,8,
12644_GYHP,192283951589,WOMENS SKECH-AIR ELEMENT-CINEMA,12644_GYHP,Women,Footwear,Performance - Running,100,5999.0,5999.0,Grey,9,
12644_SLT,193113458193,WOMENS SKECH-AIR ELEMENT-CINEMA,12644_SLT,Women,Footwear,Performance - Running,100,5999.0,5999.0,Grey,7,
12645_BKMT,192283964916,WOMENS SKECH-AIR ELEMENT-PRELUDE,12645_BKMT,Women,Footwear,Sport,100,6499.0,6499.0,Black,6,
12645_BKMT,192283964954,WOMENS SKECH-AIR ELEMENT-PRELUDE,12645_BKMT,Women,Footwear,Sport,100,6499.0,6499.0,Black,8,
12645_BKMT,192283964978,WOMENS SKECH-AIR ELEMENT-PRELUDE,12645_BKMT,Women,Footwear,Sport,100,6499.0,6499.0,Black,9,
12645_BKMT,192283964992,WOMENS SKECH-AIR ELEMENT-PRELUDE,12645_BKMT,Women,Footwear,Sport,100,6499.0,6499.0,Black,10,
12645_WMLT,192283978098,WOMENS SKECH-AIR ELEMENT-PRELUDE,12645_WMLT,Women,Footwear,Sport,100,6499.0,6499.0,White,7,
CHMWTT1_NVY,194428831640,WOMENS CHENNAI SINGLET TANK,CHMWTT1_NVY,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Navy,XS,
CHMWTT1_NVY,194428831657,WOMENS CHENNAI SINGLET TANK,CHMWTT1_NVY,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Navy,S,
CHMWTT1_NVY,194428831664,WOMENS CHENNAI SINGLET TANK,CHMWTT1_NVY,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Navy,M,
CHMWTT1_NVY,194428831671,WOMENS CHENNAI SINGLET TANK,CHMWTT1_NVY,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Navy,L,
CHMWTT1_ORG,194428831725,WOMENS CHENNAI SINGLET TANK TOP,CHMWTT1_ORG,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Orange,XS,
CHMWTT1_ORG,194428831732,WOMENS CHENNAI SINGLET TANK TOP,CHMWTT1_ORG,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Orange,S,
CHMWTT1_ORG,194428831749,WOMENS CHENNAI SINGLET TANK TOP,CHMWTT1_ORG,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Orange,M,
CHMWTT1_ORG,194428831756,WOMENS CHENNAI SINGLET TANK TOP,CHMWTT1_ORG,Women,Apparel & Accessories,Top,100,1299.0,1299.0,Orange,L,
W01JA53_KHK,193113216496,WOMENS MOTION WINDBREAKER,W01JA53_KHK,Women,Apparel & Accessories,Top,100,4999.0,4999.0,Beige,XS,
W01JA53_KHK,193113216502,WOMENS MOTION WINDBREAKER,W01JA53_KHK,Women,Apparel & Accessories,Top,100,4999.0,4999.0,Beige,S,
W01JA53_KHK,193113216519,WOMENS MOTION WINDBREAKER,W01JA53_KHK,Women,Apparel & Accessories,Top,100,4999.0,4999.0,Beige,M,
W02TS67_PINK,193113697165,WOMENS SUNKISSED TEE,W02TS67_PINK,Women,Apparel & Accessories,Top,100,1999.0,1999.0,Pink,L,
W02TS68_LAV,193113812599,WOMENS CHERISH TUNIC,W02TS68_LAV,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Purple,S,
W02TS68_LAV,193113812605,WOMENS CHERISH TUNIC,W02TS68_LAV,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Purple,M,
W02TS68_LAV,193113812612,WOMENS CHERISH TUNIC,W02TS68_LAV,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Purple,L,
W02TS68_LAV,193113812629,WOMENS CHERISH TUNIC,W02TS68_LAV,Women,Apparel & Accessories,Top,100,1499.0,1499.0,Purple,XL,
W02TS69_LVMT,193113695192,WOMENS STRIPE SUNKISSED TEE,W02TS69_LVMT,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Purple,XS,
W02TS69_LVMT,193113695208,WOMENS STRIPE SUNKISSED TEE,W02TS69_LVMT,Women,Apparel & Accessories,Top,100,2299.0,2299.0,Purple,S,
W03JA33_BKMT,192283393327,WOMENS PRISM BOMBER,W03JA33_BKMT,Women,Apparel & Accessories,Top,100,4499.0,4499.0,Black,XL,
W03JA79_BLK,193642058352,WOMENS SKECHTECH TRACK JKT,W03JA79_BLK,Women,Apparel & Accessories,Top,100,3499.0,3499.0,Black,XS,
W03JA79_BLK,193642058369,WOMENS SKECHTECH TRACK JKT,W03JA79_BLK,Women,Apparel & Accessories,Top,100,3499.0,3499.0,Black,S,
W03JA79_BLK,193642058376,WOMENS SKECHTECH TRACK JKT,W03JA79_BLK,Women,Apparel & Accessories,Top,100,3499.0,3499.0,Black,M,
W03JA79_BLK,193642058383,WOMENS SKECHTECH TRACK JKT,W03JA79_BLK,Women,Apparel & Accessories,Top,100,3499.0,3499.0,Black,L,
W03JA79_BLK,193642058390,WOMENS SKECHTECH TRACK JKT,W03JA79_BLK,Women,Apparel & Accessories,Top,100,3499.0,3499.0,Black,XL,
W03JA82_BLK,193642127850,WOMENS RESTFUL HOODIGAN,W03JA82_BLK,Women,Apparel & Accessories,Top,100,2999.0,2999.0,Black,XS,
W03JA82_BLK,193642127881,WOMENS RESTFUL HOODIGAN,W03JA82_BLK,Women,Apparel & Accessories,Top,100,2999.0,2999.0,Black,L,
W04JA46_BLK,810257052208,WOMENS DESCEND BOMBER,W04JA46_BLK,Women,Apparel & Accessories,Top,100,3499.0,3499.0,Black,XL,
W04JA61_PUR,810257052314,WOMENS SNUGGLE FLEECE ZIP IT,W04JA61_PUR,Women,Apparel & Accessories,Top,100,2499.0,2499.0,Purple,L,
